replicate,lengthscale,precon,nugget,block_size,m,m_cg,m_pcg
0,0.1353352832366127,BlockJacobi,,1.0,50,5.0,4.0
0,0.1353352832366127,BlockJacobi,,5.0,50,5.0,4.0
0,0.1353352832366127,BlockJacobi,,10.0,50,5.0,4.0
0,0.1353352832366127,BlockJacobi,,15.0,50,5.0,4.0
0,0.1353352832366127,BlockJacobi,,20.0,50,5.0,4.0
0,0.1353352832366127,Nystrom,0.1353352832366127,,50,5.0,23.0
0,0.1353352832366127,Nystrom,0.36787944117144233,,50,5.0,21.0
0,0.1353352832366127,Nystrom,1.0,,50,5.0,19.0
0,0.1353352832366127,Nystrom,2.718281828459045,,50,5.0,17.0
0,0.1353352832366127,Nystrom,7.38905609893065,,50,5.0,15.0
0,0.1353352832366127,NystromRandom,0.1353352832366127,,50,5.0,23.0
0,0.1353352832366127,NystromRandom,0.36787944117144233,,50,5.0,21.0
0,0.1353352832366127,NystromRandom,1.0,,50,5.0,19.0
0,0.1353352832366127,NystromRandom,2.718281828459045,,50,5.0,17.0
0,0.1353352832366127,NystromRandom,7.38905609893065,,50,5.0,15.0
0,0.1353352832366127,NystromDiagonal,0.1353352832366127,,50,5.0,24.0
0,0.1353352832366127,NystromDiagonal,0.36787944117144233,,50,5.0,21.0
0,0.1353352832366127,NystromDiagonal,1.0,,50,5.0,19.0
0,0.1353352832366127,NystromDiagonal,2.718281828459045,,50,5.0,17.0
0,0.1353352832366127,NystromDiagonal,7.38905609893065,,50,5.0,15.0
0,0.1353352832366127,RandomisedEVD,0.1353352832366127,,50,5.0,19.0
0,0.1353352832366127,RandomisedEVD,0.36787944117144233,,50,5.0,17.0
0,0.1353352832366127,RandomisedEVD,1.0,,50,5.0,16.0
0,0.1353352832366127,RandomisedEVD,2.718281828459045,,50,5.0,14.0
0,0.1353352832366127,RandomisedEVD,7.38905609893065,,50,5.0,12.0
0,0.1353352832366127,FITC,0.1353352832366127,,50,5.0,4.0
0,0.1353352832366127,FITC,0.36787944117144233,,50,5.0,4.0
0,0.1353352832366127,FITC,1.0,,50,5.0,4.0
0,0.1353352832366127,FITC,2.718281828459045,,50,5.0,4.0
0,0.1353352832366127,FITC,7.38905609893065,,50,5.0,4.0
0,0.36787944117144233,BlockJacobi,,1.0,50,40.0,30.0
0,0.36787944117144233,BlockJacobi,,5.0,50,40.0,32.0
0,0.36787944117144233,BlockJacobi,,10.0,50,40.0,33.0
0,0.36787944117144233,BlockJacobi,,15.0,50,40.0,35.0
0,0.36787944117144233,BlockJacobi,,20.0,50,40.0,36.0
0,0.36787944117144233,Nystrom,0.1353352832366127,,50,40.0,25.0
0,0.36787944117144233,Nystrom,0.36787944117144233,,50,40.0,26.0
0,0.36787944117144233,Nystrom,1.0,,50,40.0,27.0
0,0.36787944117144233,Nystrom,2.718281828459045,,50,40.0,26.0
0,0.36787944117144233,Nystrom,7.38905609893065,,50,40.0,25.0
0,0.36787944117144233,NystromRandom,0.1353352832366127,,50,40.0,25.0
0,0.36787944117144233,NystromRandom,0.36787944117144233,,50,40.0,24.0
0,0.36787944117144233,NystromRandom,1.0,,50,40.0,31.0
0,0.36787944117144233,NystromRandom,2.718281828459045,,50,40.0,24.0
0,0.36787944117144233,NystromRandom,7.38905609893065,,50,40.0,24.0
0,0.36787944117144233,NystromDiagonal,0.1353352832366127,,50,40.0,25.0
0,0.36787944117144233,NystromDiagonal,0.36787944117144233,,50,40.0,25.0
0,0.36787944117144233,NystromDiagonal,1.0,,50,40.0,24.0
0,0.36787944117144233,NystromDiagonal,2.718281828459045,,50,40.0,25.0
