replicate,lengthscale,precon,nugget,block_size,m,m_cg,m_pcg
0,0.1353352832366127,BlockJacobi,,1.0,50,8.0,8.0
0,0.1353352832366127,BlockJacobi,,5.0,50,8.0,8.0
0,0.1353352832366127,BlockJacobi,,10.0,50,8.0,9.0
0,0.1353352832366127,BlockJacobi,,15.0,50,8.0,9.0
0,0.1353352832366127,BlockJacobi,,20.0,50,8.0,9.0
0,0.1353352832366127,Nystrom,0.1353352832366127,,50,8.0,30.0
0,0.1353352832366127,Nystrom,0.36787944117144233,,50,8.0,27.0
0,0.1353352832366127,Nystrom,1.0,,50,8.0,24.0
0,0.1353352832366127,Nystrom,2.718281828459045,,50,8.0,19.0
0,0.1353352832366127,Nystrom,7.38905609893065,,50,8.0,16.0
0,0.1353352832366127,NystromRandom,0.1353352832366127,,50,8.0,28.0
0,0.1353352832366127,NystromRandom,0.36787944117144233,,50,8.0,26.0
0,0.1353352832366127,NystromRandom,1.0,,50,8.0,22.0
0,0.1353352832366127,NystromRandom,2.718281828459045,,50,8.0,20.0
0,0.1353352832366127,NystromRandom,7.38905609893065,,50,8.0,15.0
0,0.1353352832366127,NystromDiagonal,0.1353352832366127,,50,8.0,29.0
0,0.1353352832366127,NystromDiagonal,0.36787944117144233,,50,8.0,27.0
0,0.1353352832366127,NystromDiagonal,1.0,,50,8.0,23.0
0,0.1353352832366127,NystromDiagonal,2.718281828459045,,50,8.0,20.0
0,0.1353352832366127,NystromDiagonal,7.38905609893065,,50,8.0,16.0
0,0.1353352832366127,RandomisedEVD,0.1353352832366127,,50,8.0,5.0
0,0.1353352832366127,RandomisedEVD,0.36787944117144233,,50,8.0,5.0
0,0.1353352832366127,RandomisedEVD,1.0,,50,8.0,5.0
0,0.1353352832366127,RandomisedEVD,2.718281828459045,,50,8.0,5.0
0,0.1353352832366127,RandomisedEVD,7.38905609893065,,50,8.0,5.0
0,0.1353352832366127,FITC,0.1353352832366127,,50,8.0,7.0
0,0.1353352832366127,FITC,0.36787944117144233,,50,8.0,7.0
0,0.1353352832366127,FITC,1.0,,50,8.0,7.0
0,0.1353352832366127,FITC,2.718281828459045,,50,8.0,6.0
0,0.1353352832366127,FITC,7.38905609893065,,50,8.0,7.0
0,0.36787944117144233,BlockJacobi,,1.0,50,29.0,29.0
0,0.36787944117144233,BlockJacobi,,5.0,50,29.0,37.0
0,0.36787944117144233,BlockJacobi,,10.0,50,29.0,42.0
0,0.36787944117144233,BlockJacobi,,15.0,50,29.0,45.0
0,0.36787944117144233,BlockJacobi,,20.0,50,29.0,46.0
0,0.36787944117144233,Nystrom,0.1353352832366127,,50,29.0,19.0
0,0.36787944117144233,Nystrom,0.36787944117144233,,50,29.0,16.0
0,0.36787944117144233,Nystrom,1.0,,50,29.0,16.0
0,0.36787944117144233,Nystrom,2.718281828459045,,50,29.0,15.0
0,0.36787944117144233,Nystrom,7.38905609893065,,50,29.0,10.0
0,0.36787944117144233,NystromRandom,0.1353352832366127,,50,29.0,13.0
0,0.36787944117144233,NystromRandom,0.36787944117144233,,50,29.0,12.0
0,0.36787944117144233,NystromRandom,1.0,,50,29.0,15.0
0,0.36787944117144233,NystromRandom,2.718281828459045,,50,29.0,11.0
0,0.36787944117144233,NystromRandom,7.38905609893065,,50,29.0,10.0
0,0.36787944117144233,NystromDiagonal,0.1353352832366127,,50,29.0,14.0
0,0.36787944117144233,NystromDiagonal,0.36787944117144233,,50,29.0,13.0
0,0.36787944117144233,NystromDiagonal,1.0,,50,29.0,12.0
0,0.36787944117144233,NystromDiagonal,2.718281828459045,,50,29.0,12.0
0,0.36787944117144233,NystromDiagonal,7.38905609893065,,50,29.0,10.0
0,0.36787944117144233,RandomisedEVD,0.1353352832366127,,50,29.0,7.0
0,0.36787944117144233,RandomisedEVD,0.36787944117144233,,50,29.0,7.0
0,0.36787944117144233,RandomisedEVD,1.0,,50,29.0,7.0
0,0.36787944117144233,RandomisedEVD,2.718281828459045,,50,29.0,7.0
0,0.36787944117144233,RandomisedEVD,7.38905609893065,,50,29.0,7.0
0,0.36787944117144233,FITC,0.1353352832366127,,50,29.0,16.0
0,0.36787944117144233,FITC,0.36787944117144233,,50,29.0,15.0
0,0.36787944117144233,FITC,1.0,,50,29.0,14.0
