replicate,lengthscale,precon,nugget,m,iteration,value,method
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,0,0.0023394708951324553,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,1,0.001838832683442678,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,2,0.0016424142543942678,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,3,0.0015381080350001638,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,4,0.0014771287348592894,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,5,0.0014336556200458509,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,6,0.0014076528363955022,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,7,0.0013869795003067587,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,8,0.001371476227437015,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,9,0.0013592625574549112,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,10,0.001350572374954217,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,11,0.0013437444513319007,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,12,0.0013381318934817463,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,13,0.0013337999463066978,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,14,0.0013306188822609947,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,15,0.0013278973674656154,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,16,0.0013259689292488882,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,17,0.0013242799766791308,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,18,0.0013229656029952845,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,19,0.0013218713455355232,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,20,0.0013210452579690889,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,21,0.0013203425541371383,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,22,0.0013197738044839953,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,23,0.0013193177280389936,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,24,0.0013189347216250801,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,25,0.001318601656574171,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,26,0.0013183432347721748,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,27,0.0013181166883649731,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,28,0.0013179343729786289,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,29,0.0013177841172009857,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,30,0.0013176604106477183,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,31,0.0013175555053377113,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,32,0.0013174775930747745,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,33,0.001317401906973362,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,34,0.001317341926976753,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,35,0.0013172928581735885,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,36,0.0013172470180192936,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,37,0.001317211691040436,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,38,0.0013171803033963773,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,39,0.001317151010942819,pcg
